"n_B","p","n_A","U:0","U:1","U:2","A:0","A:1","A:2","A:3","A:4","A:5","tau:0","tau:1","tau:2","tau:3","tau:4","tau:5","B:0","B:1","B:2","B:3","B:4","B:5","Points:0","Points:1","Points:2"

2.8568,2.3213e+07,0.13853,0,0,0,0.75915,-0.69526,0,1.0602,0,0.12867,8.8193,-10.032,0,9.9439,0,-0.057443,1.5591,-0.15401,0,1.4648,0,1.4305,1,1,0.01
2.8366,2.4962e+07,0.14862,0.42361,-0.6617,0,0.9673,-0.8192,0,0.97046,0,0.14001,11.404,-10.712,0,8.127,0,-0.035352,1.5792,-0.12603,0,1.4138,0,1.4209,1,1.001,0.01
2.8322,1.7809e+07,0.15086,0.7154,-0.9403,0,1.0638,-0.85876,0,0.91441,0,0.14121,12.695,-11.047,0,7.4374,0,-0.038523,1.5944,-0.12302,0,1.4062,0,1.419,1,1.002,0.01
2.8277,1.7313e+07,0.15308,1.0425,-1.2293,0,1.1431,-0.87867,0,0.86471,0,0.14231,13.404,-10.942,0,6.6882,0,-0.063247,1.5891,-0.10781,0,1.3925,0,1.4161,1,1.003,0.01
2.8246,1.6776e+07,0.15464,1.3962,-1.4984,0,1.209,-0.88289,0,0.81181,0,0.14132,13.903,-10.71,0,6.0628,0,-0.098057,1.5804,-0.094077,0,1.3869,0,1.4141,1,1.004,0.01
2.8195,1.6259e+07,0.15722,1.764,-1.7439,0,1.287,-0.87848,0,0.74815,0,0.14115,14.499,-10.423,0,5.3618,0,-0.13121,1.5698,-0.08194,0,1.3824,0,1.4112,1,1.005,0.01
2.8096,1.6015e+07,0.16216,2.1348,-1.9639,0,1.3914,-0.87143,0,0.67961,0,0.14421,15.348,-10.156,0,4.6301,0,-0.15192,1.5576,-0.072128,0,1.3776,0,1.4062,1,1.006,0.01
2.7909,1.5829e+07,0.17151,2.4987,-2.1554,0,1.5193,-0.87319,0,0.62749,0,0.15238,16.337,-9.9924,0,4.0484,0,-0.16676,1.5385,-0.063064,0,1.3699,0,1.3967,1,1.007,0.01
2.7583,1.5666e+07,0.18778,2.8474,-2.3165,0,1.6738,-0.89025,0,0.6004,0,0.16761,17.42,-9.9742,0,3.6785,0,-0.17874,1.5072,-0.053621,0,1.3568,0,1.3803,1,1.008,0.01
2.7106,1.5526e+07,0.21166,3.1739,-2.4462,0,1.866,-0.91914,0,0.58936,0,0.1921,18.732,-10.085,0,3.4212,0,-0.17149,1.4648,-0.044693,0,1.3375,0,1.3565,1,1.009,0.01
2.648,1.5405e+07,0.24295,3.4725,-2.544,0,2.0977,-0.94512,0,0.57929,0,0.22754,20.33,-10.175,0,3.1033,0,-0.13066,1.4132,-0.036206,0,1.311,0,1.3252,1,1.01,0.01
2.5698,1.53e+07,0.28206,3.7385,-2.6106,0,2.3565,-0.95247,0,0.56464,0,0.27738,22.084,-10.086,0,2.6603,0,-0.02599,1.3519,-0.028086,0,1.2766,0,1.2859,1,1.011,0.01
2.4762,1.5205e+07,0.32887,3.9694,-2.6477,0,2.6079,-0.93308,0,0.55255,0,0.34367,23.653,-9.7432,0,2.1604,0,0.15988,1.2813,-0.020655,0,1.2343,0,1.2387,1,1.012,0.01
2.3697,1.5099e+07,0.38212,4.165,-2.6584,0,2.7806,-0.89191,0,0.55159,0,0.41139,24.383,-9.2128,0,1.6991,0,0.28738,1.2048,-0.014716,0,1.1851,0,1.1846,1,1.013,0.01
2.2548,1.4978e+07,0.43954,4.327,-2.6465,0,2.868,-0.83475,0,0.54832,0,0.46275,24.293,-8.5635,0,1.162,0,0.20542,1.1279,-0.010831,0,1.1311,0,1.1261,1,1.014,0.01
2.1371,1.487e+07,0.49842,4.4584,-2.6163,0,2.9139,-0.75259,0,0.53625,0,0.51119,23.88,-7.7009,0,0.50745,0,0.081325,1.0549,-0.0087768,0,1.075,0,1.0662,1,1.015,0.01
2.0218,1.479e+07,0.55603,4.5635,-2.572,0,2.9145,-0.63284,0,0.53716,0,0.584,23.13,-6.4884,0,-0.022375,0,0.21642,0.98826,-0.0080232,0,1.0192,0,1.0078,1,1.016,0.01
1.914,1.4729e+07,0.60996,4.6474,-2.5179,0,2.8488,-0.51204,0,0.56165,0,0.66442,21.855,-5.2821,0,-0.29639,0,0.47012,0.93041,-0.0081007,0,0.96632,0,0.95326,1,1.017,0.01
1.8163,1.4668e+07,0.65881,4.7159,-2.4581,0,2.7321,-0.41219,0,0.59922,0,0.73112,20.198,-4.2904,0,-0.40218,0,0.64512,0.88146,-0.0084412,0,0.91782,0,0.90424,1,1.018,0.01
1.7296,1.4599e+07,0.70217,4.7742,-2.396,0,2.5993,-0.32222,0,0.63762,0,0.7863,18.472,-3.3947,0,-0.45404,0,0.76489,0.83985,-0.0086367,0,0.87435,0,0.86096,1,1.019,0.01
1.6371,1.4577e+07,0.74837,4.8382,-2.3193,0,2.431,-0.2346,0,0.68481,0,0.84071,16.389,-2.5174,0,-0.45408,0,0.85301,0.79674,-0.0085746,0,0.82765,0,0.81506,1,1.02,0.01
1.5334,1.4514e+07,0.80022,4.9204,-2.2164,0,2.2081,-0.14573,0,0.74627,0,0.90077,13.727,-1.6241,0,-0.37424,0,0.9467,0.74919,-0.0083427,0,0.77499,0,0.76379,1,1.0219,0.01
1.4433,1.4395e+07,0.84532,5.0077,-2.1077,0,1.9976,-0.081636,0,0.79805,0,0.94627,11.252,-0.97703,0,-0.32573,0,0.96412,0.70811,-0.0080372,0,0.72898,0,0.71936,1,1.0239,0.01
1.3743,1.4307e+07,0.87982,5.0908,-2.0093,0,1.84,-0.04146,0,0.82745,0,0.97325,9.3866,-0.56886,0,-0.39407,0,0.89917,0.67641,-0.0077149,0,0.69361,0,0.68538,1,1.0258,0.01
1.321,1.4218e+07,0.90642,5.1699,-1.9205,0,1.716,-0.014302,0,0.84309,0,0.98991,7.9204,-0.29197,0,-0.51865,0,0.80725,0.65179,-0.0074485,0,0.66625,0,0.65914,1,1.0277,0.01
1.2798,1.414e+07,0.92706,5.2445,-1.8403,0,1.6169,0.0032363,0,0.8503,0,0.9996,6.7514,-0.11236,0,-0.66532,0,0.70323,0.63256,-0.0072363,0,0.64499,0,0.63878,1,1.0297,0.01
1.2477,1.4069e+07,0.9431,5.3138,-1.767,0,1.5357,0.013545,0,0.85337,0,1.0048,5.7992,-0.0059018,0,-0.80463,0,0.59884,0.61754,-0.0070677,0,0.62847,0,0.62294,1,1.0316,0.01
1.2228,1.4006e+07,0.95556,5.3773,-1.6992,0,1.4681,0.017817,0,0.85465,0,1.0071,5.0134,0.039578,0,-0.9237,0,0.50066,0.60582,-0.0069292,0,0.61565,0,0.61063,1,1.0335,0.01
1.2034,1.395e+07,0.96523,5.4347,-1.6355,0,1.4111,0.017419,0,0.85562,0,1.0077,4.358,0.037978,0,-1.016,0,0.41221,0.59669,-0.0068105,0,0.60572,0,0.60108,1,1.0355,0.01
1.1884,1.3899e+07,0.97272,5.4859,-1.5747,0,1.3629,0.01343,0,0.857,0,1.0073,3.8084,0.00020425,0,-1.0806,0,0.33502,0.58959,-0.0067046,0,0.59805,0,0.59369,1,1.0374,0.01
1.1769,1.3854e+07,0.97851,5.5309,-1.5161,0,1.3218,0.0066163,0,0.85921,0,1.0064,3.3461,-0.065991,0,-1.1188,0,0.26936,0.58409,-0.0066079,0,0.59214,0,0.58798,1,1.0394,0.01
1.168,1.3813e+07,0.98296,5.5701,-1.459,0,1.287,-0.0022495,0,0.86221,0,1.0052,2.9579,-0.15285,0,-1.1347,0,0.21484,0.57985,-0.0065181,0,0.58762,0,0.58361,1,1.0413,0.01
1.1612,1.3776e+07,0.98634,5.6036,-1.4029,0,1.2573,-0.012843,0,0.86624,0,1.004,2.6303,-0.2571,0,-1.1289,0,0.17058,0.57663,-0.0064348,0,0.5842,0,0.58029,1,1.0432,0.01
1.1561,1.3742e+07,0.98889,5.632,-1.3474,0,1.2324,-0.02448,0,0.87085,0,1.003,2.3576,-0.37191,0,-1.1084,0,0.13561,0.5742,-0.0063572,0,0.58165,0,0.5778,1,1.0452,0.01
1.1524,1.3712e+07,0.99075,5.6557,-1.2924,0,1.2111,-0.037444,0,0.87637,0,1.002,2.1285,-0.5001,0,-1.0716,0,0.10883,0.57243,-0.0062849,0,0.5798,0,0.576,1,1.0471,0.01
1.1498,1.3683e+07,0.99205,5.6751,-1.2375,0,1.1937,-0.050837,0,0.88213,0,1.0013,1.942,-0.63278,0,-1.0263,0,0.089203,0.57118,-0.0062224,0,0.57854,0,0.57474,1,1.049,0.01
1.1482,1.3654e+07,0.99285,5.6906,-1.1827,0,1.1784,-0.066916,0,0.88936,0,1.0007,1.7823,-0.79241,0,-0.96088,0,0.076315,0.57042,-0.0061648,0,0.57779,0,0.57398,1,1.051,0.01
1.1475,1.3625e+07,0.99318,5.7027,-1.1276,0,1.1648,-0.086043,0,0.89904,0,1.0003,1.6436,-0.98239,0,-0.86596,0,0.070222,0.57014,-0.0061014,0,0.57753,0,0.57372,1,1.0529,0.01
1.1476,1.3602e+07,0.99314,5.7119,-1.0719,0,1.1579,-0.099502,0,0.90527,0,1.0001,1.5744,-1.1156,0,-0.8018,0,0.069282,0.57017,-0.006035,0,0.57765,0,0.57379,1,1.0548,0.01
1.1483,1.3583e+07,0.99277,5.7187,-1.0154,0,1.1562,-0.11061,0,0.90891,0,1.0001,1.5598,-1.2254,0,-0.7598,0,0.072877,0.57047,-0.0059699,0,0.57811,0,0.57417,1,1.0568,0.01
1.1497,1.3564e+07,0.99208,5.7237,-0.95778,0,1.1552,-0.12595,0,0.91478,0,1.0002,1.556,-1.3773,0,-0.69139,0,0.082163,0.57109,-0.0058965,0,0.57894,0,0.57489,1,1.0587,0.01
1.1517,1.3544e+07,0.99109,5.7277,-0.89854,0,1.1563,-0.1384,0,0.92042,0,1.0006,1.574,-1.4999,0,-0.62188,0,0.096402,0.57196,-0.0057997,0,0.58009,0,0.5759,1,1.0606,0.01
1.1546,1.3525e+07,0.98963,5.7315,-0.83725,0,1.1621,-0.147,0,0.92386,0,1.0013,1.6433,-1.5833,0,-0.5695,0,0.11703,0.57325,-0.0056709,0,0.58172,0,0.57735,1,1.0626,0.01
1.1589,1.3506e+07,0.98748,5.7363,-0.77342,0,1.1742,-0.15791,0,0.92642,0,1.0021,1.782,-1.6889,0,-0.51824,0,0.14676,0.5752,-0.005497,0,0.58408,0,0.5795,1,1.0645,0.01
1.1649,1.3488e+07,0.98449,5.7436,-0.70658,0,1.1937,-0.17066,0,0.92781,0,1.0031,2.0017,-1.8116,0,-0.46986,0,0.18672,0.57794,-0.0052572,0,0.5873,0,0.58247,1,1.0665,0.01
